battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range_tenge,price_category
2097,1,2.21,1,25,0,256,0.8,155,8,18,1901,2685,6396,15,9,24,0,1,1,398052,High-end
2085,0,2.68,0,29,0,256,1.14,139,8,32,1786,4555,12685,16,9,32,0,1,1,788829,Flagship
2516,0,2.73,1,12,1,128,0.95,141,8,14,1315,2263,6808,17,9,28,1,1,1,392244,High-end
2300,1,2.47,1,27,0,512,1.09,132,8,34,1926,3749,8510,16,11,24,0,1,1,786171,Flagship
696,1,1.15,0,3,1,8,0.87,201,4,5,717,1782,2254,9,7,13,1,1,1,114954,Budget
1900,0,2.01,1,11,1,128,0.92,160,8,24,1466,2544,8031,16,8,19,1,1,1,502020,Flagship
2515,0,2.7,1,32,1,512,0.91,159,8,24,2028,3461,14318,18,10,21,1,1,1,484706,High-end
1015,1,1.63,1,1,0,16,0.62,224,4,8,698,1129,1858,9,5,10,0,1,1,141313,Budget
844,1,1.5,1,5,1,4,0.74,212,4,2,1197,930,2061,10,4,16,1,1,1,134437,Budget
1658,1,2.39,1,12,0,32,0.85,163,6,10,994,1840,2794,14,7,19,0,1,1,189864,Budget
2265,0,2.89,0,34,1,256,1.18,133,8,28,3210,2815,13593,19,9,21,1,1,1,752875,Flagship
2529,0,2.49,0,13,0,256,0.86,148,8,23,2136,2665,8826,15,9,23,0,1,1,324703,Mid-range
2164,0,2.65,0,19,0,256,0.96,166,8,25,1447,3664,9119,15,8,24,0,1,1,435431,High-end
2086,0,2.35,1,18,0,128,0.76,161,8,15,1255,3806,8163,16,9,20,0,1,1,474072,High-end
790,0,1.51,1,5,0,32,0.56,226,2,4,830,953,1730,9,6,15,0,0,1,76509,Ultra-budget
2443,1,2.55,1,38,1,256,0.84,140,8,20,1655,2943,14094,17,10,31,1,1,1,619046,Flagship
791,0,1.4,1,4,1,8,0.51,204,2,0,1155,787,1942,9,4,15,1,0,1,56949,Ultra-budget
2006,0,2.66,0,14,1,256,0.73,153,8,17,1424,2247,8980,15,9,19,1,1,1,332612,Mid-range
928,0,1.15,0,5,0,32,0.64,192,2,1,1157,1586,1532,12,7,14,0,0,1,71492,Ultra-budget
2112,1,2.48,0,28,0,512,1.09,155,8,33,3845,3054,10496,17,9,28,0,1,1,734041,Flagship
1793,1,2.7,1,14,0,128,0.9,170,8,21,1997,2348,6928,16,8,28,0,1,1,276695,Mid-range
2293,0,2.38,0,21,1,256,0.84,167,8,16,1770,2127,5036,15,8,26,1,1,1,262528,Mid-range
1885,0,2.15,0,16,1,256,0.85,141,8,21,1256,3209,8195,17,8,23,1,1,1,493178,High-end
1060,0,1.74,1,3,1,8,0.69,207,4,7,1233,890,1148,9,4,14,1,1,1,83728,Ultra-budget
1783,1,2.71,0,22,0,256,0.77,162,8,23,1714,3196,4992,15,8,21,0,1,1,494790,High-end
1144,0,1.82,1,10,1,32,0.7,152,6,6,1854,1291,2833,12,7,22,1,1,1,213040,Mid-range
731,0,1.27,0,2,0,4,0.6,195,2,2,1238,1387,2294,9,4,14,0,1,1,78965,Ultra-budget
2451,0,2.35,0,23,1,256,0.86,150,8,18,1778,2901,8834,15,9,28,1,1,1,308253,Mid-range
1774,0,2.31,0,16,0,128,0.79,148,8,18,1266,3240,4102,15,9,26,1,1,1,435676,High-end
2189,1,2.35,1,14,0,128,1.0,169,8,12,1816,2359,5547,16,8,24,0,1,1,472545,High-end
1315,1,1.84,1,8,0,32,0.78,163,4,14,1084,1511,5220,13,6,21,0,1,1,134144,Budget
2175,0,2.69,0,15,0,256,0.99,147,8,20,2011,2513,4365,16,8,22,0,1,1,473470,High-end
1270,1,2.13,0,5,1,64,0.86,189,6,9,1125,1848,2388,12,8,18,1,1,1,134571,Budget
1578,1,2.05,1,9,0,128,0.77,175,6,16,1583,1317,3135,12,7,14,0,1,1,147283,Budget
1421,1,1.79,0,6,0,32,0.85,187,4,11,1437,2016,2795,15,7,14,0,1,1,276798,Mid-range
1104,1,2.36,1,7,0,32,0.66,170,6,5,1066,1664,3750,15,6,17,0,1,1,278162,Mid-range
1093,1,2.31,0,6,1,32,0.64,170,6,11,1470,2284,2253,12,6,21,1,1,1,249875,Mid-range
2854,0,2.83,1,36,0,256,1.12,134,8,32,2023,2671,11683,19,9,25,0,1,1,643954,Flagship
1689,0,1.9,0,9,0,128,0.77,189,4,11,1019,1934,2867,15,8,19,0,1,1,119137,Budget
1220,1,1.98,1,5,0,32,0.69,171,4,7,952,2011,3529,15,8,21,0,1,1,297693,Mid-range
2179,0,2.6,1,23,0,512,0.87,157,8,21,3434,3312,13912,18,9,24,1,1,1,677860,Flagship
2394,1,2.64,1,25,0,256,0.73,155,8,25,1513,2829,8899,16,8,26,0,1,1,400627,High-end
662,1,1.12,0,2,1,8,0.8,193,2,6,881,1912,2973,9,5,8,1,1,1,78643,Ultra-budget
1064,0,2.23,0,10,1,128,0.71,177,4,9,1675,1778,2938,14,6,14,1,1,1,129842,Budget
2332,1,2.13,0,17,0,256,0.77,168,8,12,1172,3665,8549,15,8,28,0,1,1,282385,Mid-range
770,0,1.54,1,0,1,4,0.79,188,2,0,1125,1894,1632,8,7,18,1,1,1,140778,Budget
725,1,1.65,1,4,0,32,0.51,216,4,7,1219,1747,637,8,7,17,1,1,1,87438,Ultra-budget
1025,0,1.4,1,0,0,16,0.65,201,2,0,1081,746,3036,8,7,10,0,0,1,66007,Ultra-budget
1078,0,1.15,0,4,0,4,0.64,204,4,7,1230,1568,1849,10,7,15,1,1,1,86986,Ultra-budget
3257,1,2.53,0,35,0,512,0.98,151,8,33,3355,4890,14895,17,10,30,0,1,1,761665,Flagship
1021,0,1.0,0,5,1,32,0.63,222,2,5,564,692,2259,11,7,8,1,1,1,110182,Budget
1999,1,2.39,0,18,0,256,0.78,161,8,24,1148,2923,5718,17,9,25,0,1,1,410084,High-end
1899,0,2.73,1,23,0,128,0.96,144,8,13,1584,3597,8011,17,8,25,0,1,1,326898,Mid-range
3388,1,2.87,1,40,1,512,1.19,143,8,20,1826,3668,15983,19,9,35,1,1,1,559511,Flagship
1273,0,2.08,0,11,1,128,0.76,188,4,8,1521,2335,5209,15,8,14,1,1,1,282273,Mid-range
1515,1,1.68,0,10,0,128,0.61,163,4,9,1700,1565,2128,15,7,17,0,1,1,294224,Mid-range
949,1,1.59,0,2,0,32,0.65,213,2,0,1222,715,1844,9,4,12,0,1,0,45451,Ultra-budget
2286,1,2.25,1,16,0,256,0.93,159,8,23,1742,3150,7400,15,8,21,0,1,1,453458,High-end
1641,1,2.38,1,15,0,256,0.99,145,8,21,1793,3040,8944,15,8,20,0,1,1,371288,High-end
1146,0,1.58,0,2,1,4,0.65,190,4,1,763,1769,1922,12,4,14,1,0,0,39172,Ultra-budget
1475,1,1.78,1,5,0,32,0.68,153,6,14,1112,2336,2235,15,8,12,0,1,1,243475,Mid-range
2115,1,2.51,0,23,1,256,1.05,140,8,22,3094,4239,12265,16,11,32,1,1,1,672845,Flagship
1039,1,1.63,0,0,0,32,0.55,186,2,4,941,970,2617,10,6,11,0,1,1,114551,Budget
863,0,1.21,1,4,1,8,0.63,187,4,2,514,1880,2699,10,7,13,1,1,1,122114,Budget
1687,0,1.71,1,5,0,128,0.67,179,4,12,783,1814,4804,13,7,13,0,1,1,128766,Budget
1102,0,1.73,1,8,1,64,0.85,184,6,13,1800,1922,5569,15,7,12,1,1,1,124690,Budget
2173,1,2.18,1,17,1,128,0.91,161,8,25,1091,1953,7113,15,8,26,1,1,1,402917,High-end
2058,1,2.07,0,25,1,128,0.89,164,8,16,1941,3253,7586,17,8,26,1,1,1,250647,Mid-range
1085,1,1.79,1,10,1,128,0.75,180,4,5,1607,2485,5078,15,6,13,1,1,1,134062,Budget
3479,0,3.16,0,35,0,256,0.87,146,8,24,2393,2904,16254,16,9,26,0,1,1,646779,Flagship
2605,1,2.55,1,38,0,512,1.08,148,8,34,2036,2620,13569,16,11,33,0,1,1,760991,Flagship
722,0,1.51,0,5,1,16,0.56,223,4,8,890,833,2985,9,4,18,1,1,1,113291,Budget
2131,1,2.06,0,10,0,128,0.96,140,8,19,2032,2788,5811,17,9,18,0,1,1,454257,High-end
2402,0,2.61,0,19,1,256,0.8,150,8,23,2144,2931,4544,15,9,22,1,1,1,394412,High-end
1814,0,2.35,0,16,0,256,0.84,141,8,18,1430,2599,6308,15,8,22,0,1,1,366488,High-end
705,0,1.1,0,4,1,32,0.64,226,4,3,744,1126,1230,8,7,16,1,1,1,87484,Ultra-budget
804,0,1.5,1,1,0,32,0.72,184,2,1,538,914,620,9,6,10,0,1,0,49487,Ultra-budget
978,0,1.76,0,9,1,64,0.84,168,6,7,1043,1518,4427,14,7,20,1,1,1,246661,Mid-range
614,0,1.11,0,4,0,8,0.74,207,2,6,790,1101,1127,8,6,8,0,1,1,90328,Ultra-budget
2524,0,2.68,1,22,0,128,0.82,154,8,24,1839,3394,6104,16,9,28,1,1,1,258701,Mid-range
2218,0,2.76,1,24,1,256,0.8,149,8,22,1237,2561,8339,17,9,22,1,1,1,499314,High-end
1571,0,1.83,1,9,1,64,0.85,187,6,10,853,2446,5418,12,6,21,1,1,1,161987,Budget
1292,1,1.62,0,6,1,128,0.66,150,6,14,796,1600,4789,15,8,19,1,1,1,245317,Mid-range
823,0,1.22,1,4,1,4,0.73,225,4,5,1137,971,2366,8,4,12,1,1,1,95099,Ultra-budget
1559,0,1.84,1,9,1,32,0.68,151,6,12,1544,2273,4417,12,8,16,1,1,1,288792,Mid-range
1062,1,1.66,0,0,1,4,0.84,187,4,8,683,1736,2834,8,6,10,1,1,1,108445,Budget
721,1,1.23,1,2,1,4,0.82,211,2,5,870,1895,1647,10,7,8,1,1,0,49335,Ultra-budget
1093,1,1.62,1,8,0,64,0.75,155,4,9,1796,1832,5226,12,6,14,0,1,1,262383,Mid-range
1799,1,1.62,0,7,0,32,0.6,151,4,7,880,2252,4318,15,8,19,0,1,1,298929,Mid-range
1632,0,2.22,0,17,1,128,0.99,143,8,23,2068,2163,4891,15,8,27,1,1,1,464784,High-end
2820,0,2.89,1,34,0,512,0.9,139,8,33,2641,4723,10461,17,9,25,1,1,1,696533,Flagship
2255,0,2.58,0,15,1,256,0.79,151,8,24,1551,2186,4518,17,8,21,1,1,1,391736,High-end
1942,1,2.44,1,10,0,128,0.94,151,8,16,1927,2382,4578,17,9,21,0,1,1,284642,Mid-range
1770,1,1.82,1,10,1,32,0.73,177,4,11,1510,2148,3234,14,8,18,1,1,1,206191,Mid-range
1928,0,2.14,1,16,1,256,0.78,151,8,25,1238,3831,4356,17,9,24,1,1,1,357042,High-end
1417,0,2.06,1,11,0,128,0.66,183,4,12,1091,2518,3134,15,7,18,0,1,1,133774,Budget
2844,0,2.78,0,20,0,256,0.84,153,8,29,2409,4393,12803,17,11,26,0,1,1,677410,Flagship
661,1,1.07,0,5,1,4,0.65,187,2,4,1137,776,1438,12,5,16,1,0,0,42953,Ultra-budget
1553,0,1.95,1,9,0,32,0.78,162,4,9,1445,1831,2611,13,6,16,0,1,1,215221,Mid-range
1985,1,2.03,1,12,0,128,0.71,161,8,13,1574,2825,9109,17,9,25,0,1,1,364831,High-end
992,0,1.04,0,0,0,32,0.61,216,2,7,1117,1027,2252,11,6,9,0,1,1,72014,Ultra-budget
3004,1,2.67,0,39,0,512,1.08,149,8,28,3614,4413,12690,16,11,29,0,1,1,524952,Flagship
909,0,1.36,1,5,0,16,0.7,218,2,6,921,1245,1474,12,5,9,0,1,1,134018,Budget
1748,0,2.18,1,14,1,256,0.95,163,8,16,1925,3441,7474,16,8,20,1,1,1,311469,Mid-range
1223,1,1.81,1,12,0,128,0.82,187,6,10,1467,1779,3260,12,6,21,1,1,1,277611,Mid-range
2149,0,2.43,0,37,0,256,0.9,138,8,27,1679,2968,9232,18,10,34,0,1,1,637780,Flagship
2356,1,2.29,1,13,0,256,0.9,153,8,13,1393,2064,6187,15,9,21,0,1,1,307345,Mid-range
2699,1,2.6,1,34,1,512,0.89,143,8,27,3046,4740,11943,17,10,34,1,1,1,738607,Flagship
1050,0,1.26,0,1,1,4,0.77,195,2,7,1221,1454,2832,9,5,18,1,1,1,102400,Budget
2118,1,2.91,0,31,0,256,0.81,150,8,27,3600,3696,13220,18,10,21,0,1,1,542981,Flagship
1968,1,2.78,0,18,0,128,0.97,165,8,18,1501,3744,7210,15,9,27,0,1,1,466680,High-end
955,0,1.68,1,1,0,4,0.53,180,2,7,780,1558,1531,12,5,16,1,1,1,63605,Ultra-budget
891,0,1.55,1,2,0,16,0.87,217,4,4,662,723,1067,10,5,9,0,0,1,56871,Ultra-budget
2468,1,2.66,0,20,0,256,0.94,170,8,17,1653,3080,5138,16,8,23,0,1,1,347252,Mid-range
2217,1,2.64,0,27,1,512,0.83,144,8,32,3581,4454,14569,17,10,21,1,1,1,562019,Flagship
3114,0,3.11,0,26,1,512,0.8,154,8,25,3444,2580,8456,18,11,20,1,1,1,594791,Flagship
2010,0,2.23,1,13,0,128,0.91,162,8,21,1226,2354,4275,15,8,22,0,1,1,412804,High-end
818,0,1.45,1,5,1,16,0.74,190,2,4,738,1845,2452,8,5,13,1,1,1,137596,Budget
2020,0,2.76,1,17,1,256,0.72,170,8,16,1497,3481,7025,17,9,27,1,1,1,457080,High-end
1191,0,1.7,1,5,1,32,0.54,196,2,6,1144,791,2867,11,6,11,1,1,1,85259,Ultra-budget
2239,0,2.99,0,38,1,512,1.07,147,8,24,3716,4783,9153,17,9,23,1,1,1,629224,Flagship
1172,0,1.67,0,4,0,32,0.76,200,4,5,1142,1225,2319,10,4,15,0,0,1,70137,Ultra-budget
2416,1,2.41,0,40,0,512,0.85,132,8,32,2093,4493,9624,17,11,32,0,1,1,733837,Flagship
1664,0,1.84,1,9,0,128,0.86,150,4,9,1537,2169,5359,13,7,14,1,1,1,189938,Budget
1844,0,2.75,1,23,0,128,0.96,164,8,23,1472,3659,6657,17,8,21,0,1,1,322705,Mid-range
2333,1,2.95,0,27,0,256,1.0,155,8,32,1985,2847,10412,17,11,22,0,1,1,558437,Flagship
1901,1,2.46,0,19,0,128,0.96,148,8,23,1538,2477,5114,15,9,21,1,1,1,339259,Mid-range
2708,1,2.92,0,34,0,512,1.19,151,8,23,3395,2607,11423,17,11,32,1,1,1,669258,Flagship
639,0,1.41,0,2,0,8,0.9,198,2,0,510,1185,2905,10,7,15,0,1,1,84488,Ultra-budget
2199,1,2.89,0,37,0,512,0.98,142,8,24,2047,3306,12812,17,10,33,0,1,1,455667,High-end
1786,1,2.1,0,10,0,64,0.89,170,6,7,1690,2009,3541,12,8,17,1,1,1,147126,Budget
1937,0,2.4,0,18,1,256,0.79,169,8,24,1432,2886,9021,17,9,28,1,1,1,355741,High-end
1782,1,1.7,0,9,1,128,0.73,172,6,7,1518,1874,3976,13,7,17,1,1,1,130949,Budget
752,1,1.69,1,5,0,4,0.89,206,2,4,1274,1097,1224,10,7,16,0,1,1,144128,Budget
1567,0,2.12,0,10,1,128,0.84,157,8,19,1991,3246,8122,15,8,28,1,1,1,256889,Mid-range
1297,1,2.35,0,7,1,128,0.65,190,6,5,1725,2073,5285,12,8,12,1,1,1,290473,Mid-range
2074,1,2.71,0,20,0,256,0.92,150,8,33,1742,2847,14913,17,11,23,0,1,1,736517,Flagship
1005,0,1.17,1,2,1,32,0.57,193,4,4,1271,1402,2418,8,6,12,1,1,1,122566,Budget
1753,0,2.58,0,18,1,256,0.79,145,8,25,1667,3667,4759,16,8,28,1,1,1,381308,High-end
2568,1,2.82,0,29,1,512,1.12,142,8,29,1913,2990,8710,17,9,27,1,1,1,532852,Flagship
2246,1,2.54,0,19,0,128,0.71,154,8,14,1962,2730,6942,16,8,26,0,1,1,316219,Mid-range
974,1,1.26,0,3,1,8,0.85,220,4,2,1204,1336,1676,9,4,10,1,1,1,53675,Ultra-budget
944,1,1.68,1,5,0,16,0.89,215,2,3,679,1718,1981,8,5,15,0,1,1,119800,Budget
2525,0,2.73,1,19,1,128,0.92,157,8,13,1980,3058,7338,17,8,23,1,1,1,295827,Mid-range
3307,0,2.53,0,33,0,256,0.91,151,8,28,3128,4766,15066,16,11,22,0,1,1,548889,Flagship
2453,1,3.05,0,35,0,512,1.08,146,8,27,2444,4930,14324,16,10,25,0,1,1,603748,Flagship
1210,1,1.78,0,10,1,32,0.66,177,4,8,1433,2194,5749,15,8,19,1,1,1,215555,Mid-range
1326,1,1.97,1,12,0,32,0.81,171,4,7,1371,2196,3361,14,6,20,0,1,1,211640,Mid-range
627,0,1.18,1,4,1,4,0.87,199,2,8,1107,1692,2182,11,5,14,1,1,1,50700,Ultra-budget
2883,0,2.52,1,28,1,512,1.12,152,8,40,3827,3630,15726,16,9,34,1,1,1,539588,Flagship
2218,0,2.13,0,17,0,256,0.92,152,8,21,1686,2742,7903,16,8,24,0,1,1,419883,High-end
1027,1,1.39,0,4,0,16,0.75,217,2,7,906,1234,839,8,5,15,0,1,1,105391,Budget
2248,1,2.47,1,15,0,256,0.78,141,8,18,1658,2743,7550,17,9,18,0,1,1,294785,Mid-range
1752,0,2.11,1,6,1,128,0.62,190,6,10,1361,1302,5772,14,8,15,1,1,1,205802,Mid-range
1981,1,2.73,1,17,0,256,0.83,160,8,15,1818,3011,7827,17,9,19,0,1,1,355347,High-end
744,1,1.16,1,3,0,16,0.77,206,2,8,518,1235,1028,9,5,10,0,1,1,100961,Budget
1063,0,2.17,0,10,0,128,0.73,151,4,5,1367,2465,5598,13,8,15,0,1,1,187723,Budget
1514,0,1.63,0,9,1,64,0.8,186,4,13,914,1842,4363,12,6,21,1,1,1,269162,Mid-range
1097,0,1.47,1,2,0,32,0.85,188,4,7,1218,1772,788,12,4,8,0,1,1,100660,Budget
1076,0,1.94,0,5,1,32,0.84,152,4,6,1914,1823,2809,12,8,14,1,1,1,209237,Mid-range
1926,1,2.67,0,14,1,128,0.8,160,8,24,1819,2158,9090,16,8,21,1,1,1,401997,High-end
1224,0,1.86,1,5,0,32,0.87,161,4,7,1039,1823,2970,15,7,18,0,1,1,167505,Budget
659,0,1.53,0,5,1,4,0.88,228,4,3,1233,1711,1268,11,4,12,1,1,1,93384,Ultra-budget
1218,1,1.91,0,10,0,64,0.61,169,4,13,1012,1492,5227,15,8,13,0,1,1,181924,Budget
1564,0,2.18,0,23,1,128,0.87,147,8,21,1100,3153,9042,15,8,18,1,1,1,272613,Mid-range
2210,0,2.06,1,17,0,256,0.95,147,8,19,1715,3654,7830,16,8,27,0,1,1,285179,Mid-range
1662,1,2.72,0,15,0,256,0.97,143,8,14,1645,2376,5548,15,9,23,0,1,1,278622,Mid-range
3298,0,2.43,0,36,0,512,1.01,136,8,32,1728,4637,12996,17,9,31,0,1,1,694743,Flagship
1088,0,1.01,0,3,0,8,0.8,208,4,5,757,1365,2427,12,4,15,0,0,1,59641,Ultra-budget
1261,1,2.01,0,6,0,32,0.73,175,4,8,1393,1990,3899,13,6,21,0,1,1,146656,Budget
736,0,1.46,0,1,1,16,0.76,196,2,0,1110,705,1616,11,5,11,1,1,1,105701,Budget
2271,0,2.35,1,16,0,256,0.75,156,8,24,1311,3687,4242,15,8,23,0,1,1,422430,High-end
2432,1,2.22,0,12,0,256,0.87,140,8,14,1375,3385,6418,17,9,26,0,1,1,474877,High-end
1654,0,1.87,0,10,0,64,0.71,176,4,16,1154,2254,4713,14,7,19,1,1,1,211696,Mid-range
2486,1,2.66,1,24,0,256,0.71,163,8,24,1517,3773,6068,15,9,21,0,1,1,358276,High-end
2533,0,2.94,0,27,1,512,1.14,135,8,21,3237,4052,16187,17,11,21,1,1,1,783879,Flagship
1902,1,2.74,1,24,0,256,0.76,152,8,15,1362,2379,4779,15,9,28,0,1,1,259727,Mid-range
3414,1,2.68,0,21,1,512,1.09,155,8,31,3154,3251,11967,18,9,30,1,1,1,585507,Flagship
3053,0,2.52,0,34,0,256,0.89,151,8,36,2212,3316,12562,16,10,31,0,1,1,484289,High-end
3438,1,2.47,0,29,0,512,1.15,157,8,24,3060,2647,10062,19,9,25,0,1,1,773835,Flagship
834,1,1.56,1,0,0,4,0.74,189,2,0,994,766,2298,11,6,14,0,1,1,100299,Budget
2426,1,2.78,0,17,0,128,0.83,150,8,24,1267,2948,6995,17,8,24,0,1,1,323858,Mid-range
1845,0,2.21,0,24,0,256,0.9,145,8,22,2012,1946,8181,17,8,28,1,1,1,414390,High-end
1202,1,2.04,0,10,1,32,0.74,166,6,10,1354,1382,3816,12,7,16,1,1,1,171112,Budget
1600,1,2.0,0,23,0,256,0.71,160,8,12,1826,2889,5851,17,8,19,0,1,1,292213,Mid-range
2856,0,2.72,1,26,1,256,0.99,150,8,37,2372,3861,15754,19,11,21,1,1,1,698886,Flagship
906,0,1.08,0,5,0,32,0.85,199,4,3,493,1803,544,9,7,17,0,1,1,133195,Budget
2182,1,2.08,1,17,0,128,0.74,157,8,12,1800,3642,7792,16,8,27,0,1,1,268658,Mid-range
2021,1,2.36,1,16,0,128,0.84,157,8,15,1735,2573,5529,17,9,22,0,1,1,413784,High-end
1991,0,2.61,1,15,0,256,0.82,144,8,19,1568,2021,5543,15,9,26,0,1,1,400754,High-end
902,0,1.41,0,1,0,16,0.63,218,4,1,813,1631,997,9,7,10,0,1,1,130206,Budget
2392,0,2.43,1,13,0,256,0.72,140,8,13,1755,2884,8117,17,8,21,0,1,1,354411,High-end
2870,0,2.79,1,25,1,512,1.18,135,8,33,3542,4907,11642,19,10,34,1,1,1,604059,Flagship
1784,0,2.19,1,9,0,32,0.83,158,6,9,1545,2329,5219,13,8,15,0,1,1,142953,Budget
1048,1,2.28,0,5,0,64,0.68,181,6,13,1213,1310,5314,14,6,19,0,1,1,143136,Budget
892,0,1.66,0,2,0,8,0.71,183,2,4,533,1450,1857,12,5,14,0,1,1,99045,Ultra-budget
2193,0,2.31,1,23,0,128,0.93,168,8,22,2081,2009,6887,16,8,27,0,1,1,456762,High-end
2164,1,3.09,0,23,0,512,0.84,148,8,39,2258,4086,14982,18,11,33,0,1,1,718201,Flagship
1568,0,2.09,0,12,0,32,0.66,156,4,5,1534,1800,4968,12,6,13,0,1,1,275006,Mid-range
1025,1,2.02,0,10,1,128,0.7,178,4,14,929,1600,4913,13,6,19,1,1,1,160718,Budget
2893,0,2.76,1,33,1,512,1.18,157,8,39,2654,3567,14503,19,10,26,1,1,1,452792,High-end
2269,1,2.73,0,19,0,128,0.91,145,8,16,1498,3233,4885,16,8,18,0,1,1,393085,High-end
1083,1,1.53,1,2,1,16,0.82,230,4,6,849,971,1675,11,7,18,1,1,1,134193,Budget
2284,1,2.63,0,37,1,512,1.04,142,8,34,2422,4334,15507,19,9,21,1,1,1,713479,Flagship
672,0,1.27,1,0,1,8,0.81,230,4,8,1205,1732,2668,8,4,8,1,1,0,59131,Ultra-budget
724,0,1.8,1,0,0,8,0.76,230,4,3,505,941,1307,12,4,9,1,1,1,120201,Budget
2325,1,2.56,1,34,1,256,0.8,131,8,31,3279,3615,9620,18,11,30,1,1,1,637809,Flagship
1796,1,1.61,1,11,1,64,0.72,155,4,15,1812,2275,4618,13,7,13,1,1,1,279660,Mid-range
698,1,1.11,0,1,0,8,0.67,230,2,3,1256,1355,2854,10,6,12,0,0,1,75416,Ultra-budget
928,1,1.61,0,0,1,4,0.9,184,2,3,586,919,791,12,6,15,1,0,0,50083,Ultra-budget
1238,1,2.28,0,12,0,32,0.8,155,4,13,1778,1498,2690,14,6,16,0,1,1,306678,Mid-range
2351,0,2.6,0,32,0,512,1.02,142,8,40,3456,3125,14755,19,9,20,1,1,1,692730,Flagship
2126,1,2.71,0,15,1,128,0.79,153,8,16,1123,2802,7583,16,8,23,1,1,1,333301,Mid-range
2314,1,2.26,1,24,1,128,0.72,167,8,15,1522,3501,4235,15,8,18,1,1,1,366618,High-end
2313,1,2.21,1,17,1,128,0.75,164,8,17,1371,3213,8812,15,9,21,1,1,1,448069,High-end
1865,1,2.49,0,18,0,128,0.9,162,8,24,2051,3454,7397,15,8,21,0,1,1,447951,High-end
1625,1,2.03,0,5,0,64,0.84,180,4,5,1509,2007,3072,15,7,13,1,1,1,280580,Mid-range
2491,0,2.06,0,18,0,128,0.87,164,8,20,1827,2874,9115,16,9,26,1,1,1,431382,High-end
965,0,1.4,0,1,0,16,0.56,216,4,4,849,1242,2757,12,5,17,0,1,1,139714,Budget
1603,1,1.69,1,10,0,128,0.9,182,6,7,1852,1686,4693,15,8,13,0,1,1,199059,Budget
2274,0,2.72,1,24,0,128,0.89,146,8,12,1188,3459,5787,16,9,20,0,1,1,261789,Mid-range
1710,0,2.36,1,7,0,64,0.75,186,6,13,1649,2358,2449,14,8,19,0,1,1,245340,Mid-range
625,1,1.73,1,3,1,8,0.87,200,4,0,907,1082,2033,9,4,9,1,1,1,135535,Budget
3183,1,3.16,0,36,0,512,1.12,149,8,34,2101,2988,16255,16,9,24,0,1,1,559684,Flagship
